Slot ID,Zone Rank,Zone ID,Zone,Category,Wave,Priority Tier,Suggested Sourcing Focus,Projected Monthly GMV (GHS),Projected Annual GMV (GHS),Ops Rationale
22,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
23,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
24,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
25,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
26,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
27,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
28,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
29,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
30,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
31,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,1,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
32,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,1,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
33,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,1,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
34,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,1,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
35,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,2,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
36,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,2,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
37,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Electronics & Appliances,2,High,Cluster-fill around proven tech corridors,21255.0,255060.0,Central Accra: High-ticket but slower frequency; onboard selectively in proven demand corridors.
38,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,19620.0,235440.0,Central Accra: Strategic fit with telecom footprint and higher GMV per merchant.
39,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,19620.0,235440.0,Central Accra: Strategic fit with telecom footprint and higher GMV per merchant.
40,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,19620.0,235440.0,Central Accra: Strategic fit with telecom footprint and higher GMV per merchant.
41,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,19620.0,235440.0,Central Accra: Strategic fit with telecom footprint and higher GMV per merchant.
42,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,19620.0,235440.0,Central Accra: Strategic fit with telecom footprint and higher GMV per merchant.
43,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
44,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
45,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
46,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
47,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
48,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
49,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
50,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
51,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
52,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
53,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
54,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
55,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
56,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
57,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
58,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
59,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
60,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
61,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
62,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
63,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
64,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
65,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
66,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Pharmacy & Health,2,High,Anchor + essential merchants,16350.0,196200.0,Central Accra: Very underrepresented in current map; strong convenience and repeat demand driver.
67,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,2,High,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
68,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
69,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
70,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
71,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
72,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
73,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
74,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
75,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
76,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
77,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
78,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
79,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
80,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
81,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
82,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
83,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
84,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
85,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Restaurants & Fast Food,3,Medium,Anchor + essential merchants,14715.0,176580.0,Central Accra: Good demand generation and order frequency; cluster around dense residential/work nodes.
86,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Auto & More,3,Medium,Selective specialist sourcing,14715.0,176580.0,Central Accra: Niche but valuable in transport corridors; keep targeted rather than broad.
87,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Auto & More,3,Medium,Selective specialist sourcing,14715.0,176580.0,Central Accra: Niche but valuable in transport corridors; keep targeted rather than broad.
88,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Auto & More,3,Medium,Selective specialist sourcing,14715.0,176580.0,Central Accra: Niche but valuable in transport corridors; keep targeted rather than broad.
89,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Auto & More,3,Medium,Selective specialist sourcing,14715.0,176580.0,Central Accra: Niche but valuable in transport corridors; keep targeted rather than broad.
90,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Auto & More,3,Medium,Selective specialist sourcing,14715.0,176580.0,Central Accra: Niche but valuable in transport corridors; keep targeted rather than broad.
91,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,3,Medium,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
92,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,3,Medium,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
93,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,3,Medium,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
94,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,3,Medium,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
95,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,3,Medium,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
96,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
97,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
98,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
99,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
100,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
101,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
102,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
103,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
104,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Home & Office,4,Build Pipeline,Whitespace fill in residential corridors,13080.0,156960.0,Central Accra: Useful fill category for mixed-use corridors; add where electronics already convert.
105,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Baby & Kids,4,Build Pipeline,Whitespace fill in residential corridors,11445.0,137340.0,Central Accra: Fill underserved family clusters; especially useful in Tema and East corridors.
106,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Baby & Kids,4,Build Pipeline,Whitespace fill in residential corridors,11445.0,137340.0,Central Accra: Fill underserved family clusters; especially useful in Tema and East corridors.
107,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Baby & Kids,4,Build Pipeline,Whitespace fill in residential corridors,11445.0,137340.0,Central Accra: Fill underserved family clusters; especially useful in Tema and East corridors.
108,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Bakery,4,Build Pipeline,Whitespace fill in residential corridors,8175.0,98100.0,Central Accra: Small basket but useful for daily frequency around dense traffic nodes.
109,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Bakery,4,Build Pipeline,Whitespace fill in residential corridors,8175.0,98100.0,Central Accra: Small basket but useful for daily frequency around dense traffic nodes.
110,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Spas & Salons,4,Build Pipeline,Selective specialist sourcing,7358.0,88290.0,Central Accra: Service category; keep selective because marketplace fit is lower than essentials.
111,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Spas & Salons,4,Build Pipeline,Selective specialist sourcing,7358.0,88290.0,Central Accra: Service category; keep selective because marketplace fit is lower than essentials.
112,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
113,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
114,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
115,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
116,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
117,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
118,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
119,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
120,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
121,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
122,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
123,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
124,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
125,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
126,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
127,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
128,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
129,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
130,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
131,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
132,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
133,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
134,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
135,2,1,East Corridor (Spintex / Sakumono),Supermarkets,1,High,Anchor + essential merchants,22776.0,273314.0,East Corridor: High-frequency anchor category; use for basket building and repeat purchase.
136,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,1,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
137,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,1,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
138,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
139,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
140,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
141,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
142,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
143,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
144,2,1,East Corridor (Spintex / Sakumono),Mobile Phones & Accessories,2,High,Cluster-fill around proven tech corridors,18221.0,218651.0,East Corridor: Strategic fit with telecom footprint and higher GMV per merchant.
