WKT,Name,Category,Latitude,Longitude
"POINT (-0.2152024 5.5731408)",Eben Cliq,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",DP Apple Retaliz,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Shropshire,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",iWis Tech Enterprise,Computers & Games,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Immortal Tel Ltd,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",3Z Tech Ltd,Computers & Games,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Zion Phones,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.1696152344 5.677881004)",Blessed RJ Enterprise,Electronics & Appliances,5.677881004,-0.1696152344
"POINT (-0.1724936092 5.677922019)",Nabeel Phone and Accessories,Mobile Phones & Accessories,5.677922019,-0.1724936092
"POINT (-0.1722944552 5.677916014)",Lagwe-GSM,Mobile Phones & Accessories,5.677916014,-0.1722944552
"POINT (-0.1723353589 5.678025445)",Smart Living Emporium Plus,Electronics & Appliances,5.678025445,-0.1723353589
"POINT (-0.1725780988 5.677955382)",Inkjets,Computers & Games,5.677955382,-0.1725780988
"POINT (-0.1721838141 5.678106851)",Linkloom Accessories,Mobile Phones & Accessories,5.678106851,-0.1721838141
"POINT (-0.1663246 5.6666425)",Amazing Patisseries,Bakery,5.6666425,-0.1663246
"POINT (-0.1728469 5.678162)",Al-Jannah Traveling Bags Ltd,Fashion & Footwear,5.678162,-0.1728469
"POINT (-0.1698978 5.6779381)",Selbec Fabrics,Fashion & Footwear,5.6779381,-0.1698978
"POINT (-0.1677062 5.6780486)",Safowood,Home & Office,5.6780486,-0.1677062
"POINT (-0.1661942 5.6776277)",BentilRich Enterprise,Supermarkets,5.6776277,-0.1661942
"POINT (-0.164733 5.677529)",KY Discount Perfume Shop,Fashion & Footwear,5.677529,-0.164733
"POINT (-0.164733 5.677529)",Zuuchiya Prime Ventures,Electronics & Appliances,5.677529,-0.164733
"POINT (-0.1650446 5.6713872)",Braintech Fashion,Fashion & Footwear,5.6713872,-0.1650446
"POINT (-0.1643047 5.6679274)",Blinks Collection,Fashion & Footwear,5.6679274,-0.1643047
"POINT (-0.1653898 5.6665031)",KD's Cho,Restaurants & Fast Food,5.6665031,-0.1653898
"POINT (-0.1646209583 5.662442736)",Sadabe Fashion Hub,Fashion & Footwear,5.662442736,-0.1646209583
"POINT (-0.1664444356 5.667905056)",All Nice Collections,Fashion & Footwear,5.667905056,-0.1664444356
"POINT (-0.1645495 5.6606251)",KP Phones and Digital,Mobile Phones & Accessories,5.6606251,-0.1645495
"POINT (-0.1671694 5.6679476)",Shop Circuit Beauty Supply,Fashion & Footwear,5.6679476,-0.1671694
"POINT (-0.1600137 5.6676423)",Agutour Klodin,Fashion & Footwear,5.6676423,-0.1600137
"POINT (-0.1676360331 5.667671265)",CopyCentral Enterprise,Computers & Games,5.667671265,-0.1676360331
"POINT (-0.1683664902 5.667674707)",Youngkings Collections,Fashion & Footwear,5.667674707,-0.1683664902
"POINT (-0.2148415785 5.571954444)",Tech GADGETS ,Mobile Phones & Accessories,5.571954444,-0.2148415785
"POINT (-0.2149821914 5.571890036)",JOE Tech Gadgets,Computers & Games,5.571890036,-0.2149821914
"POINT (-0.1649697436 5.666571069)",Cuddle-Bella,Electronics & Appliances,5.666571069,-0.1649697436
"POINT (-0.1662723 5.6860395)",Seasons & Occassions,Bakery,5.6860395,-0.1662723
"POINT (-0.1790809883 5.686358965)",Mummy's Pride Kids Boutique,Fashion & Footwear,5.686358965,-0.1790809883
"POINT (-0.1938335 5.6833736)",FAFARI,Home & Office,5.6833736,-0.1938335
"POINT (-0.1932058178 5.683343989)",Bojangles Lifestyle Store,Supermarkets,5.683343989,-0.1932058178
"POINT (-0.164739635 5.662299906)",Body Image,Fashion & Footwear,5.662299906,-0.164739635
"POINT (-0.164451608 5.669747656)",Ransford Closet,Fashion & Footwear,5.669747656,-0.164451608
"POINT (-0.2153392325 5.572289556)",Lucky Phones,Mobile Phones & Accessories,5.572289556,-0.2153392325
"POINT (-0.1707722 5.6678363)",Ellicio Clothings,Fashion & Footwear,5.6678363,-0.1707722
"POINT (-0.1658282 5.6813732)",Becklils Aquarium and Pet Shop,Supermarkets,5.6813732,-0.1658282
"POINT (-0.1751763 5.6410047)",iGaDDaFiHuB East Legon,Mobile Phones & Accessories,5.6410047,-0.1751763
"POINT (-0.1817436 5.6629969)",KAEAs Wardrobe,Fashion & Footwear,5.6629969,-0.1817436
"POINT (-0.1769928 5.6407796)",Red Vine Apparel,Fashion & Footwear,5.6407796,-0.1769928
"POINT (-0.1186301141 5.676126513)",Growth Tech Electrical Engineering & IT Services,Electronics & Appliances,5.676126513,-0.1186301141
"POINT (-0.1687452754 5.628519037)",Carohans Ventures,Home & Office,5.628519037,-0.1687452754
"POINT (-0.1921875 5.6121875)",CompuGhana Airport West,Electronics & Appliances,5.6121875,-0.1921875
"POINT (-0.172864 5.6226008)",CompuGhana Accra Mall,Electronics & Appliances,5.6226008,-0.172864
"POINT (-0.1763307 5.6026811)",CompuGhana Marina Mall,Electronics & Appliances,5.6026811,-0.1763307
"POINT (-0.0719356 5.6139238)",CompuGhana Junction Mall,Electronics & Appliances,5.6139238,-0.0719356
"POINT (-0.2414176 5.6387304)",CompuGhana Achimota Mall,Electronics & Appliances,5.6387304,-0.2414176
"POINT (-0.3446858 5.5448229)",CompuGhana Westhills Mall,Electronics & Appliances,5.5448229,-0.3446858
"POINT (-0.1824733 5.5592295)",CompuGhana Osu Mark Cofie House,Electronics & Appliances,5.5592295,-0.1824733
"POINT (-0.1729734 5.6307905)",CompuGhana East Legon Lagos Avenue,Electronics & Appliances,5.6307905,-0.1729734
"POINT (-0.1306232 5.6361874)",CompuGhana Smart Security,Computers & Games,5.6361874,-0.1306232
"POINT (-1.6065319 6.6718801)",CompuGhana Kumasi Mall,Electronics & Appliances,6.6718801,-1.6065319
"POINT (-1.7701826 4.9074007)",CompuGhana Takoradi Mall,Electronics & Appliances,4.9074007,-1.7701826
"POINT (-0.07609777915 5.627326704)",Crystal Pearl,Fashion & Footwear,5.627326704,-0.07609777915
"POINT (-0.07613707854 5.627602882)",Kesty's Royal Fashion,Fashion & Footwear,5.627602882,-0.07613707854
"POINT (-0.07943704175 5.62533036)",AMISS Fabrics,Fashion & Footwear,5.62533036,-0.07943704175
"POINT (-0.0796288 5.6251372)",Ritalinks Kiddies,Baby & Kids,5.6251372,-0.0796288
"POINT (-0.0849152 5.6266385)",Celebrity Style,Fashion & Footwear,5.6266385,-0.0849152
"POINT (-0.0868579 5.6280034)",ShoeWorld,Fashion & Footwear,5.6280034,-0.0868579
"POINT (-0.0763913 5.637971)",Lucy's Joint,Restaurants & Fast Food,5.637971,-0.0763913
"POINT (-0.07705190552 5.625039701)",House of Blezz Appliances,Electronics & Appliances,5.625039701,-0.07705190552
"POINT (-0.07614823062 5.630829085)",Glamorous Bebe,Fashion & Footwear,5.630829085,-0.07614823062
"POINT (-0.079474 5.6251637)",Speed Technologies Ltd,Electronics & Appliances,5.6251637,-0.079474
"POINT (-0.08692100185 5.62810622)",JBS Electrical Engineering,Electronics & Appliances,5.62810622,-0.08692100185
"POINT (-0.0760882 5.6397778)",Pars Kitchen,Restaurants & Fast Food,5.6397778,-0.0760882
"POINT (-0.07601782574 5.639798133)",Bedroom Exotics,Home & Office,5.639798133,-0.07601782574
"POINT (-0.09522973072 5.632067762)",D. A. Security and Electrical Services,Electronics & Appliances,5.632067762,-0.09522973072
"POINT (0.0513246 5.7563128)",TECHDRIVE Rainbow Computers,Computers & Games,5.7563128,0.0513246
"POINT (-0.0761131 5.6421245)",Mady's Essentials,Home & Office,5.6421245,-0.0761131
"POINT (-0.0763679 5.6433215)",BENBET Garment,Fashion & Footwear,5.6433215,-0.0763679
"POINT (-0.0764666 5.6441932)",Outlet Vault 106 Store,Fashion & Footwear,5.6441932,-0.0764666
"POINT (-0.07649430184 5.62510688)",NabSha Pub,Restaurants & Fast Food,5.62510688,-0.07649430184
"POINT (-0.1054373 5.6385056)",Zebrex Motors,Auto & More,5.6385056,-0.1054373
"POINT (-0.07582553252 5.635328887)",FOS FAV Auto,Auto & More,5.635328887,-0.07582553252
"POINT (-0.07611141043 5.633750243)",Hareeds Enterprise,Fashion & Footwear,5.633750243,-0.07611141043
"POINT (-0.07602105213 5.630963558)",Lucmart Enterprise,Home & Office,5.630963558,-0.07602105213
"POINT (-0.0761222 5.6293315)",Borment-1 Collection,Fashion & Footwear,5.6293315,-0.0761222
"POINT (-0.0761259 5.629261)",JayLuxury Beddings and More,Home & Office,5.629261,-0.0761259
"POINT (-0.07504052766 5.634769251)",Elyon Fashion Design,Fashion & Footwear,5.634769251,-0.07504052766
"POINT (-0.1088551 5.6409476)",Super Deals,Mobile Phones & Accessories,5.6409476,-0.1088551
"POINT (-0.07640420675 5.645649691)",Eribel Creatives,Home & Office,5.645649691,-0.07640420675
"POINT (-0.1229069534 5.677509235)",Napatel Ventures,Auto & More,5.677509235,-0.1229069534
"POINT (-0.1228057 5.6776934)",Aquaba Vestido,Fashion & Footwear,5.6776934,-0.1228057
"POINT (-0.186451659 5.667682674)",Star Point,Restaurants & Fast Food,5.667682674,-0.186451659
"POINT (-0.1899433037 5.671952115)",Gabs Catfish and Fast Food Joint,Restaurants & Fast Food,5.671952115,-0.1899433037
"POINT (-0.1240111 5.6768128)",Senifak Services ,Home & Office,5.6768128,-0.1240111
"POINT (-0.1906319748 5.674213259)",American Products El-Tash Ventures,Supermarkets,5.674213259,-0.1906319748
"POINT (-0.1973712 5.6672438)",Suzzy's Mother Care,Baby & Kids,5.6672438,-0.1973712
"POINT (-0.0776941 5.6450014)",Cozy Luxe Collections,Fashion & Footwear,5.6450014,-0.0776941
"POINT (-0.1985497074 5.667713745)",MJ Collections,Fashion & Footwear,5.667713745,-0.1985497074
"POINT (-0.1931661 5.6823667)",Doks Luxury Hair,Fashion & Footwear,5.6823667,-0.1931661
"POINT (-0.2008957411 5.667377931)",Justy Fashion,Fashion & Footwear,5.667377931,-0.2008957411
"POINT (-0.2026039877 5.667276823)",Kess Klothing,Fashion & Footwear,5.667276823,-0.2026039877
"POINT (-0.2033166006 5.667231389)",King Gina Enterprise,Home & Office,5.667231389,-0.2033166006
"POINT (-0.1943903 5.6870937)",BEL's Salad,Restaurants & Fast Food,5.6870937,-0.1943903
"POINT (-0.1946433 5.6874199)",Elency Food & Juice Bar,Restaurants & Fast Food,5.6874199,-0.1946433
"POINT (-0.1943151981 5.687008292)",Celebrity Tilapia Hub,Restaurants & Fast Food,5.687008292,-0.1943151981
"POINT (-0.2058273043 5.668364527)",Cee's Cosmetics,Fashion & Footwear,5.668364527,-0.2058273043
"POINT (-0.2058408896 5.668030891)",Favoured Hands Electricals,Electronics & Appliances,5.668030891,-0.2058408896
"POINT (-0.2058502908 5.667836983)",Color Vista Paints,Home & Office,5.667836983,-0.2058502908
"POINT (-0.180611 5.5608065)",Savoury Taste,Restaurants & Fast Food,5.5608065,-0.180611
"POINT (-0.1822264 5.5581654)",Donasy Enterprise,Auto & More,5.5581654,-0.1822264
"POINT (-0.1687200589 5.568676992)",DONPIET 1879 Ventures,Fashion & Footwear,5.568676992,-0.1687200589
"POINT (-0.2073365 5.6079764)",Whitray Hair & Perfumes,Fashion & Footwear,5.6079764,-0.2073365
"POINT (-0.2046325 5.6106211)",Gadget Physicians,Mobile Phones & Accessories,5.6106211,-0.2046325
"POINT (-0.2070867 5.6077699)",The Corporate Plus,Fashion & Footwear,5.6077699,-0.2070867
"POINT (-0.2042449 5.6108202)",Shiko Links,Mobile Phones & Accessories,5.6108202,-0.2042449
"POINT (-0.203379 5.6117582)",A La Vie Restaurant,Restaurants & Fast Food,5.6117582,-0.203379
"POINT (-0.2029952 5.6118131)",Pillars Mothers Care,Baby & Kids,5.6118131,-0.2029952
"POINT (-0.1959004 5.6140732)",Ando's Restaurant & Grill Dzorwulu,Restaurants & Fast Food,5.6140732,-0.1959004
"POINT (-0.1549862 5.6463782)",Ando's Restaurant & Grill East Legon,Restaurants & Fast Food,5.6463782,-0.1549862
"POINT (-0.2073944 5.6079638)",Kupic Fabrics,Fashion & Footwear,5.6079638,-0.2073944
"POINT (-0.1978032969 5.598756685)",Kwach Enterprise,Home & Office,5.598756685,-0.1978032969
"POINT (-0.1980722993 5.598373313)",Dija's Kiddies Place,Baby & Kids,5.598373313,-0.1980722993
"POINT (-0.1997799454 5.596440225)",2ND Avenue,Supermarkets,5.596440225,-0.1997799454
"POINT (-0.1993444858 5.596523416)",Prissy's Taste,Restaurants & Fast Food,5.596523416,-0.1993444858
"POINT (-0.165092 5.677459)",Payless 4 Laptop,Computers & Games,5.677459,-0.165092
"POINT (-0.1996288 5.5965401)",Jay Sam Enterprise,Auto & More,5.5965401,-0.1996288
"POINT (-0.1998584 5.5964162)",Diana Diamond,Home & Office,5.5964162,-0.1998584
"POINT (-0.1995710632 5.596111646)",Restored Glory Enterprise,Supermarkets,5.596111646,-0.1995710632
"POINT (-0.1999566 5.5960899)",Juliet Agyapong Enterprise,Home & Office,5.5960899,-0.1999566
"POINT (-0.203818 5.5910252)",Blay One Collections,Fashion & Footwear,5.5910252,-0.203818
"POINT (-0.2033739 5.5935052)",Ahenkan's Collections,Fashion & Footwear,5.5935052,-0.2033739
"POINT (-0.2214567 5.5857011)",Childrens Planets Mother Care,Baby & Kids,5.5857011,-0.2214567
"POINT (-0.2066198693 5.590633541)",De Lord Electrical Shop,Electronics & Appliances,5.590633541,-0.2066198693
"POINT (-0.2075362 5.5889956)",DASA Clothing,Fashion & Footwear,5.5889956,-0.2075362
"POINT (-0.2072732 5.5868342)",BABS Safety Ventures,Fashion & Footwear,5.5868342,-0.2072732
"POINT (-0.2101396957 5.596753925)",Cakes & Pie Palace,Bakery,5.596753925,-0.2101396957
"POINT (-0.208967 5.5955446)",Premium Gadgets,Electronics & Appliances,5.5955446,-0.208967
"POINT (-0.2077305601 5.586999959)",Konko Jay Enterprise,Computers & Games,5.586999959,-0.2077305601
"POINT (-0.209667 5.596595)",Olive Apple Shop,Mobile Phones & Accessories,5.596595,-0.209667
"POINT (-0.0814795 5.6032796)",Addi Confidence Phonez and Accessories,Mobile Phones & Accessories,5.6032796,-0.0814795
"POINT (-0.2054593 5.591787)",Fabirc World GH,Fashion & Footwear,5.591787,-0.2054593
"POINT (-0.1703357135 5.673364672)",Kartel's Collection,Fashion & Footwear,5.673364672,-0.1703357135
"POINT (-0.2095656503 5.580972461)",Have Faith In The Lord,Fashion & Footwear,5.580972461,-0.2095656503
"POINT (-0.2125456896 5.575816639)",Climate Technologies,Computers & Games,5.575816639,-0.2125456896
"POINT (-0.2091084 5.5817134)",Vlite Mall,Electronics & Appliances,5.5817134,-0.2091084
"POINT (-0.2133534067 5.576213689)",Abronoma,Fashion & Footwear,5.576213689,-0.2133534067
"POINT (-0.2035710442 5.579507)",Baby Galore Mothercare Ventures,Baby & Kids,5.579507,-0.2035710442
"POINT (-0.2088175178 5.582020071)",Habs Fashion,Fashion & Footwear,5.582020071,-0.2088175178
"POINT (-0.2088121534 5.582017402)",Have Faith In The Lord Boutique,Fashion & Footwear,5.582017402,-0.2088121534
"POINT (-0.2081403 5.5836666)",MASIC Enterprise,Fashion & Footwear,5.5836666,-0.2081403
"POINT (-0.2079897528 5.584490876)",Jamuss Shipping Enterprise,Electronics & Appliances,5.584490876,-0.2079897528
"POINT (-0.2934853 5.6391131)",Abiks Hashim Enterprise,Electronics & Appliances,5.6391131,-0.2934853
"POINT (-0.203256246 5.590749621)",Don Charlie Boutique,Fashion & Footwear,5.590749621,-0.203256246
"POINT (-0.2084450202 5.581963908)",Sweety's Place,Restaurants & Fast Food,5.581963908,-0.2084450202
"POINT (-0.2089255386 5.587499698)",Becky's Fashion,Fashion & Footwear,5.587499698,-0.2089255386
"POINT (-0.2102323442 5.579867338)",Gad Sarl. U,Auto & More,5.579867338,-0.2102323442
"POINT (-0.2104878368 5.579851981)",Yokleb Enterprise,Fashion & Footwear,5.579851981,-0.2104878368
"POINT (-0.2146273 5.5774227)",Come Closer Ventures,Fashion & Footwear,5.5774227,-0.2146273
"POINT (-0.2157768969 5.577816956)",Discount House Motors,Auto & More,5.577816956,-0.2157768969
"POINT (-0.214240097 5.574697395)",Tracy's Boutique,Fashion & Footwear,5.574697395,-0.214240097
"POINT (-0.214491946 5.574192905)",Alexiz Trading Enterprise,Computers & Games,5.574192905,-0.214491946
"POINT (-0.215993797 5.583399644)",GB D-Light Motors,Auto & More,5.583399644,-0.215993797
"POINT (-0.2086110798 5.582343057)",Calabash and Pots,Home & Office,5.582343057,-0.2086110798
"POINT (-0.165499208 5.686212569)",Akokayson Couture,Fashion & Footwear,5.686212569,-0.165499208
"POINT (-0.2030973251 5.590647515)",Lady Sirina Mother Care,Baby & Kids,5.590647515,-0.2030973251
"POINT (-0.2090836257 5.587510074)",Mama Doris Cosmetics,Spas & Salons,5.587510074,-0.2090836257
"POINT (-0.2123206 5.598479)",Tasty Temples Locals,Restaurants & Fast Food,5.598479,-0.2123206
"POINT (-0.209476746 5.586428537)",Brand 233,Home & Office,5.586428537,-0.209476746
"POINT (-0.2089799871 5.586069101)",G-Syde Collection,Fashion & Footwear,5.586069101,-0.2089799871
"POINT (-0.2107071 5.5954579)",Don Timz Collection,Fashion & Footwear,5.5954579,-0.2107071
"POINT (-0.2151669 5.5781419)",Saint Asibi Fabrics,Fashion & Footwear,5.5781419,-0.2151669
"POINT (-0.2068983 5.5937135)",Cavani's Tech World,Mobile Phones & Accessories,5.5937135,-0.2068983
"POINT (-0.2009541595 5.595640187)",Unique Sisters Kitchen,Restaurants & Fast Food,5.595640187,-0.2009541595
"POINT (-0.1603839 5.6676881)",Amenuveveye Cold Stores,Supermarkets,5.6676881,-0.1603839
"POINT (-0.2222447 5.5864047)",CASWISS Watches,Fashion & Footwear,5.5864047,-0.2222447
"POINT (-0.2224229 5.5865862)",ABU Dangyuma Pet Shop,Supermarkets,5.5865862,-0.2224229
"POINT (-0.2219554 5.5857491)",Premium Code Enterprise,Home & Office,5.5857491,-0.2219554
"POINT (-0.2225515687 5.587452774)",Brain Hand Media Ventures,Computers & Games,5.587452774,-0.2225515687
"POINT (-0.2319717896 5.585711047)",Cecilia Enterprise,Fashion & Footwear,5.585711047,-0.2319717896
"POINT (-0.2318718129 5.585991724)",PX Vibe Enterprise,Home & Office,5.585991724,-0.2318718129
"POINT (-0.2324057 5.5865172)",Bakwell Electronics,Electronics & Appliances,5.5865172,-0.2324057
"POINT (-0.2312028 5.5844608)",Mondo Bazaar,Fashion & Footwear,5.5844608,-0.2312028
"POINT (-0.2327054791 5.587555343)",Multi Craft Engineering,Electronics & Appliances,5.587555343,-0.2327054791
"POINT (-0.2306239509 5.582255909)",Paintsil Events and Catering Services,Restaurants & Fast Food,5.582255909,-0.2306239509
"POINT (-0.2338562104 5.588663156)",Cassie's Cuisine and Event Service,Restaurants & Fast Food,5.588663156,-0.2338562104
"POINT (-0.2354329 5.5715497)",Cookers Delight Restaurant,Restaurants & Fast Food,5.5715497,-0.2354329
"POINT (-0.2305898 5.5826346)",Flash Collections,Fashion & Footwear,5.5826346,-0.2305898
"POINT (-0.2394140736 5.588600982)",Sugar Bloom Pastries,Bakery,5.588600982,-0.2394140736
"POINT (-0.2304708 5.5819156)",Ohemaa House of Beauty,Spas & Salons,5.5819156,-0.2304708
"POINT (-0.223916208 5.588548965)",Oliv Oku Enterprise,Home & Office,5.588548965,-0.223916208
"POINT (-0.2302833325 5.581937088)",Premier Inn,Electronics & Appliances,5.581937088,-0.2302833325
"POINT (-0.2372607331 5.599826931)",Kidda Prise,Baby & Kids,5.599826931,-0.2372607331
"POINT (-0.2382337049 5.600163406)",The Lace Mall,Baby & Kids,5.600163406,-0.2382337049
"POINT (-0.2370288 5.5995468)",JulJones Catering & Rentals,Restaurants & Fast Food,5.5995468,-0.2370288
"POINT (-0.2368957 5.5994671)",JulJones Catering Services,Restaurants & Fast Food,5.5994671,-0.2368957
"POINT (-0.2393130914 5.600788723)",Change Look Enterprise,Fashion & Footwear,5.600788723,-0.2393130914
"POINT (-0.2368101 5.5996641)",Korland Motors,Auto & More,5.5996641,-0.2368101
"POINT (-0.2398856123 5.601380457)",SAR's Collection,Fashion & Footwear,5.601380457,-0.2398856123
"POINT (-0.2363412448 5.599288259)",Enyanty Enterprise,Fashion & Footwear,5.599288259,-0.2363412448
"POINT (-0.2490515 5.6077046)",Ike Fancy Collection,Fashion & Footwear,5.6077046,-0.2490515
"POINT (-0.247242319 5.605918047)",Strong View Ventures,Electronics & Appliances,5.605918047,-0.247242319
"POINT (-0.2491608436 5.607650983)",Anisa Hassim Shop,Home & Office,5.607650983,-0.2491608436
"POINT (-0.2400717589 5.601247943)",Martin Fast Food,Restaurants & Fast Food,5.601247943,-0.2400717589
"POINT (-0.2404519 5.6014093)",Sangbe Tech,Computers & Games,5.6014093,-0.2404519
"POINT (-0.2399924 5.6022804)",Bronsley Boutique,Fashion & Footwear,5.6022804,-0.2399924
"POINT (-0.2278105 5.5781454)",Jackie B's Gift Shop,Home & Office,5.5781454,-0.2278105
"POINT (-0.2409776 5.6021011)",Hi 5 Collection,Fashion & Footwear,5.6021011,-0.2409776
"POINT (-0.2345764 5.5986226)",StelRichie Collections,Fashion & Footwear,5.5986226,-0.2345764
"POINT (-0.2300018215 5.581511147)",Emmlix Collection,Fashion & Footwear,5.581511147,-0.2300018215
"POINT (-0.2449635 5.6060142)",Rush Line Collections,Fashion & Footwear,5.6060142,-0.2449635
"POINT (-0.2455552301 5.605240355)",GIFNICE Cosmetics,Spas & Salons,5.605240355,-0.2455552301
"POINT (-0.2471591705 5.60621902)",Mr. AD Special,Restaurants & Fast Food,5.60621902,-0.2471591705
"POINT (-0.2304511712 5.58198404)",Renyo Fashion World,Fashion & Footwear,5.58198404,-0.2304511712
"POINT (-0.231242673 5.58377306)",Hamkke's Essentials,Restaurants & Fast Food,5.58377306,-0.231242673
"POINT (-0.2475725 5.6061281)",Robert Darko Enterprise,Fashion & Footwear,5.6061281,-0.2475725
"POINT (-0.2545218896 5.598558318)",Sparkle Slay GH Boutique,Fashion & Footwear,5.598558318,-0.2545218896
"POINT (-0.2472678 5.6060355)",SA Musical Instrument,Electronics & Appliances,5.6060355,-0.2472678
"POINT (-0.2532230608 5.596391819)",LEO Se7en Enterprise,Fashion & Footwear,5.596391819,-0.2532230608
"POINT (-0.2515833264 5.605807984)",NOVACLOSET98,Fashion & Footwear,5.605807984,-0.2515833264
"POINT (-0.2448267 5.607222)",Ninety's House of Fab,Fashion & Footwear,5.607222,-0.2448267
"POINT (-0.2524936 5.605498)",First Angel Ventures,Fashion & Footwear,5.605498,-0.2524936
"POINT (-0.2528297 5.6055973)",Sangbe Enterprise,Computers & Games,5.6055973,-0.2528297
"POINT (-0.2526642 5.595469)",Jenelle Skincare &amp; Wigs,Spas & Salons,5.595469,-0.2526642
"POINT (-0.2524713 5.5951381)",3H Restaurant,Restaurants & Fast Food,5.5951381,-0.2524713
"POINT (-0.2526642 5.595469)",Marc Depot Ltd,Supermarkets,5.595469,-0.2526642
"POINT (-0.2553618994 5.606773498)",Blessed Electricals,Electronics & Appliances,5.606773498,-0.2553618994
"POINT (-0.2523259301 5.594896356)",Sika Fashion,Fashion & Footwear,5.594896356,-0.2523259301
"POINT (-0.2545527957 5.606348688)",Blessed Emmy Boutique,Fashion & Footwear,5.606348688,-0.2545527957
"POINT (-0.2562442 5.6072806)",Samgee Beauty Parlour,Spas & Salons,5.6072806,-0.2562442
"POINT (-0.25673807 5.607380785)",Shine Your Eyes Fabrics,Fashion & Footwear,5.607380785,-0.25673807
"POINT (-0.256546292 5.607579654)",Dreamland Beddings,Home & Office,5.607579654,-0.256546292
"POINT (-0.2569805491 5.607844098)",Law Baby Hair and Cosmetics,Spas & Salons,5.607844098,-0.2569805491
"POINT (-0.2560162 5.60137)",Tech-Hub Systems,Computers & Games,5.60137,-0.2560162
"POINT (-0.2482628 5.6062266)",A. P Global Phone,Mobile Phones & Accessories,5.6062266,-0.2482628
"POINT (-0.2476652 5.6061451)",Simply Chic Empire,Spas & Salons,5.6061451,-0.2476652
"POINT (-0.2468782 5.6080958)",Azara Perfumes and Cosmetics,Spas & Salons,5.6080958,-0.2468782
"POINT (-0.2532427 5.5964258)",Everything Lifestyle Enterprise,Electronics & Appliances,5.5964258,-0.2532427
"POINT (-0.2156996 5.5719876)",Jugman Ventures,Computers & Games,5.5719876,-0.2156996
"POINT (-0.2106239 5.5456552)",Careworld Enterprise,Home & Office,5.5456552,-0.2106239
"POINT (-0.1761378 5.5999327)",Absolute Comfort,Restaurants & Fast Food,5.5999327,-0.1761378
"POINT (-0.2471493767 5.606218102)",Lyllies Foods,Restaurants & Fast Food,5.606218102,-0.2471493767
"POINT (-0.2426884 5.6333002)",Little Paradise Clothing,Fashion & Footwear,5.6333002,-0.2426884
"POINT (-0.2374689 5.6533881)",Pappy Kids,Baby & Kids,5.6533881,-0.2374689
"POINT (-0.2410984 5.6340553)",Taste-Man Collections,Fashion & Footwear,5.6340553,-0.2410984
"POINT (-0.2372395 5.6537287)",Smell Good,Fashion & Footwear,5.6537287,-0.2372395
"POINT (-0.2434322 5.6328457)",Auntie Adaku Catering,Bakery,5.6328457,-0.2434322
